string	citation	standard_citation	citation_id
@arxiv:1312.6114	arxiv:1312.6114	arxiv:1312.6114	NLVTJ9Lj
@arxiv:1406.2661	arxiv:1406.2661	arxiv:1406.2661	dXnSD8tJ
@arxiv:1502.04623	arxiv:1502.04623	arxiv:1502.04623	mSTbr0cw
@arxiv:1610.05857	arxiv:1610.05857	arxiv:1610.05857	6Dv4X61k
@arxiv:1708.04692	arxiv:1708.04692	arxiv:1708.04692	zBCcUQOM
@doi:10.1002/wics.101	doi:10.1002/wics.101	doi:10.1002/wics.101	1B69QdM07
@doi:10.1016/j.cell.2016.01.047	doi:10.1016/j.cell.2016.01.047	doi:10.1016/j.cell.2016.01.047	aoXSfMEh
@doi:10.1016/j.cell.2016.08.009	doi:10.1016/j.cell.2016.08.009	doi:10.1016/j.cell.2016.08.009	ka5Dodis
@doi:10.1016/j.cels.2016.09.002	doi:10.1016/j.cels.2016.09.002	doi:10.1016/j.cels.2016.09.002	1AXVzqJNj
@doi:10.1016/j.cels.2017.06.003	doi:10.1016/j.cels.2017.06.003	doi:10.1016/j.cels.2017.06.003	Hlprh8TG
@doi:10.1038/nbt.2967	doi:10.1038/nbt.2967	doi:10.1038/nbt.2967	dCW9GLBh
@doi:10.1038/nbt.3519	doi:10.1038/nbt.3519	doi:10.1038/nbt.3519	12KZMHMQl
@doi:10.1038/nbt.3780	doi:10.1038/nbt.3780	doi:10.1038/nbt.3780	Qh7xTLwz
@doi:10.1038/nmeth.4197	doi:10.1038/nmeth.4197	doi:10.1038/nmeth.4197	vrqQcFyx
@doi:10.1038/nsmb.2660	doi:10.1038/nsmb.2660	doi:10.1038/nsmb.2660	cTBjEwEP
@doi:10.1101/156620	doi:10.1101/156620	doi:10.1101/156620	BXscBoDB
@doi:10.1101/159756	doi:10.1101/159756	doi:10.1101/159756	fbIH12yd
@doi:10.1101/174474	doi:10.1101/174474	doi:10.1101/174474	aWn0df1m
@doi:10.1101/298430	doi:10.1101/298430	doi:10.1101/298430	OMsYvCFP
@doi:10.1118/1.3267037	doi:10.1118/1.3267037	doi:10.1118/1.3267037	Mij5zdMT
@doi:10.1126/science.1254257	doi:10.1126/science.1254257	doi:10.1126/science.1254257	CK2iL88z
@doi:10.1128/mSystems.00025-15	doi:10.1128/mSystems.00025-15	doi:10.1128/msystems.00025-15	1CFhfCyWN
@doi:10.1182/blood-2016-05-716480	doi:10.1182/blood-2016-05-716480	doi:10.1182/blood-2016-05-716480	3P5sOch
@doi:10.1186/s13059-015-0805-z	doi:10.1186/s13059-015-0805-z	doi:10.1186/s13059-015-0805-z	13Q8I0ueY
@doi:10.1186/s13059-017-1188-0	doi:10.1186/s13059-017-1188-0	doi:10.1186/s13059-017-1188-0	zALrucGv
@doi:10.1186/s13059-017-1305-0	doi:10.1186/s13059-017-1305-0	doi:10.1186/s13059-017-1305-0	117yS2Kkv
@doi:10.4049/jimmunol.1103031	doi:10.4049/jimmunol.1103031	doi:10.4049/jimmunol.1103031	2f2lADmF
@url:https://github.com/greenelab/czi-rfa/issues/11	url:https://github.com/greenelab/czi-rfa/issues/11	url:https://github.com/greenelab/czi-rfa/issues/11	ufUaIy3V
@url:https://www.faceapp.com	url:https://www.faceapp.com	url:https://www.faceapp.com	11SweunvY
